Liverpool FC,29,27,1,1,45,82
Manchester City,29,19,3,7,40,60
Leicester City,29,16,5,8,30,53
Chelsea FC,29,14,6,9,12,48
Manchester United,29,12,9,8,14,45
Sheffield United,29,11,11,7,5,44
Wolverhampton Wanderers,29,10,13,6,7,43
Tottenham Hotspur,29,11,8,10,7,41
Arsenal FC,29,9,13,7,1,40
Burnley FC,29,11,6,12,-6,39
Crystal Palace,29,10,9,10,-6,39
Everton FC,29,10,7,12,-9,37
Newcastle United,29,9,8,12,-16,35
Southampton FC,29,10,4,15,-17,34
Brighton & Hove Albion,29,6,11,12,-8,29
West Ham United,29,7,6,16,-15,27
Watford FC,29,6,9,14,-17,27
AFC Bournemouth,29,7,6,16,-18,27
Aston Villa,29,7,1,17,-22,26
Norwich City,29,5,6,18,-27,21