Manchester United,38,25,7,6,38,82
Newcastle United,38,24,6,8,29,78
Liverpool FC,38,20,11,7,36,71
Aston Villa,38,18,9,11,17,63
Arsenal FC,38,17,12,9,17,63
Everton FC,38,17,10,11,20,61
Blackburn Rovers,38,18,7,13,14,61
Tottenham Hotspur,38,16,13,9,12,61
Nottingham Forest,38,15,13,10,-4,58
West Ham United,38,14,9,15,-9,51
Chelsea FC,38,12,14,12,2,50
Middlesbrough FC,38,11,10,17,-15,43
Leeds United,38,12,7,19,-17,43
Milton Keynes Dons,38,10,11,17,-15,41
Sheffield Wednesday,38,10,10,18,-13,40
Coventry City,38,8,14,16,-18,38
Southampton FC,38,9,11,18,-18,38
Manchester City,38,9,11,18,-25,38
Queens Park Rangers,38,9,6,23,-19,33
Bolton Wanderers,38,8,5,25,-32,29